,Datum,Plaats,Klassement,Klassement.1,Klassement.2,Klassement.3,Klassement.4,Kwalif.,Afstanden(km),min.leeftijd,Organisator,Inschrijflink,Uitslag,Opmerking,gemeente,latitude,longitude,Datum_dt,dag,Kwalificatie,Klassementen
33,12-05-2024,Havelte,,,K,J,B,"KWALIFICATIERUN  Deze survivalrun staat geregistreerd als een kwalificatierun. Recreatieve SBNleden (>18 jaar) kunnen bij elk van deze survivalruns bij het MET bandje voltooien van een aangemerkte individuele categorie kwalificatiepunten verdienen. Afhankelijk van de gekozen categorie zijn 1, 2 of zelfs 3 licentie kwalificatiepunten te verdienen! Een top-5 uitslag bij de mannen of een top-3 uitslag bij de vrouwen levert je DUBBELE punten op! Vanaf seizoen 2018-2019 zijn 6 punten nodig om een SBN klassementslicentie aan te kunnen vragen!  Meer informatie op de SBN website via de SBN reglementen.","4,5 - 6,5 - 7,5 km",vanaf 8 jaar,Stichting Survivalrun Havelte,,,,Westerveld,52.769872,6.2327874,2024-05-12,zondag,Ja,K - J - B
34,25-05-2024,Delft,,,K,,,"KWALIFICATIERUN  Deze survivalrun staat geregistreerd als een kwalificatierun. Recreatieve SBNleden (>18 jaar) kunnen bij elk van deze survivalruns bij het MET bandje voltooien van een aangemerkte individuele categorie kwalificatiepunten verdienen. Afhankelijk van de gekozen categorie zijn 1, 2 of zelfs 3 licentie kwalificatiepunten te verdienen! Een top-5 uitslag bij de mannen of een top-3 uitslag bij de vrouwen levert je DUBBELE punten op! Vanaf seizoen 2018-2019 zijn 6 punten nodig om een SBN klassementslicentie aan te kunnen vragen!  Meer informatie op de SBN website via de SBN reglementen.",6 - 9 km,vanaf 10 jaar,Stichting SurvivalStrijd Delft,,,,Delft,52.0111076,4.3566778,2024-05-25,zaterdag,Ja,K
35,01-06-2024,De Knipe,,,,J,,,5 km,vanaf 8 jaar,Stichting Survival de Knipe,,,za,Heerenveen,52.9685087,5.9674586,2024-06-01,zaterdag,Nee,J
36,02-06-2024,De Knipe,L,M,K,,B,"KWALIFICATIERUN  Deze survivalrun staat geregistreerd als een kwalificatierun. Recreatieve SBNleden (>18 jaar) kunnen bij elk van deze survivalruns bij het MET bandje voltooien van een aangemerkte individuele categorie kwalificatiepunten verdienen. Afhankelijk van de gekozen categorie zijn 1, 2 of zelfs 3 licentie kwalificatiepunten te verdienen! Een top-5 uitslag bij de mannen of een top-3 uitslag bij de vrouwen levert je DUBBELE punten op! Vanaf seizoen 2018-2019 zijn 6 punten nodig om een SBN klassementslicentie aan te kunnen vragen!  Meer informatie op de SBN website via de SBN reglementen.",7 - 12 - 20 km,vanaf 15 jaar,Stichting Survival de Knipe,,,zo,Heerenveen,52.9685087,5.9674586,2024-06-02,zondag,Ja,L - M - K - B
37,02-06-2024,Nijmegen,,,,,,"KWALIFICATIERUN  Deze survivalrun staat geregistreerd als een kwalificatierun. Recreatieve SBNleden (>18 jaar) kunnen bij elk van deze survivalruns bij het MET bandje voltooien van een aangemerkte individuele categorie kwalificatiepunten verdienen. Afhankelijk van de gekozen categorie zijn 1, 2 of zelfs 3 licentie kwalificatiepunten te verdienen! Een top-5 uitslag bij de mannen of een top-3 uitslag bij de vrouwen levert je DUBBELE punten op! Vanaf seizoen 2018-2019 zijn 6 punten nodig om een SBN klassementslicentie aan te kunnen vragen!  Meer informatie op de SBN website via de SBN reglementen.",5 - 8 km,vanaf 18 jaar,NSSV FEL,,,,Nijmegen,51.8469018,5.8659734,2024-06-02,zondag,Ja,
38,08-06-2024,Eindhoven,,,,,B,"KWALIFICATIERUN  Deze survivalrun staat geregistreerd als een kwalificatierun. Recreatieve SBNleden (>18 jaar) kunnen bij elk van deze survivalruns bij het MET bandje voltooien van een aangemerkte individuele categorie kwalificatiepunten verdienen. Afhankelijk van de gekozen categorie zijn 1, 2 of zelfs 3 licentie kwalificatiepunten te verdienen! Een top-5 uitslag bij de mannen of een top-3 uitslag bij de vrouwen levert je DUBBELE punten op! Vanaf seizoen 2018-2019 zijn 6 punten nodig om een SBN klassementslicentie aan te kunnen vragen!  Meer informatie op de SBN website via de SBN reglementen.",5 - 7 km,vanaf 16 jaar,All Terrain Outdoor Challenge,,,,Eindhoven,51.473798,5.452834,2024-06-08,zaterdag,Ja,B
39,09-06-2024,Dronten,,,K,J,B,"KWALIFICATIERUN  Deze survivalrun staat geregistreerd als een kwalificatierun. Recreatieve SBNleden (>18 jaar) kunnen bij elk van deze survivalruns bij het MET bandje voltooien van een aangemerkte individuele categorie kwalificatiepunten verdienen. Afhankelijk van de gekozen categorie zijn 1, 2 of zelfs 3 licentie kwalificatiepunten te verdienen! Een top-5 uitslag bij de mannen of een top-3 uitslag bij de vrouwen levert je DUBBELE punten op! Vanaf seizoen 2018-2019 zijn 6 punten nodig om een SBN klassementslicentie aan te kunnen vragen!  Meer informatie op de SBN website via de SBN reglementen.",6 - 9 km,vanaf 8 jaar,Stichting Dronterland Survivalrun,,,,Dronten,52.523599,5.7176977,2024-06-09,zondag,Ja,K - J - B
40,16-06-2024,Harreveld,L,M,K,J,,"KWALIFICATIERUN  Deze survivalrun staat geregistreerd als een kwalificatierun. Recreatieve SBNleden (>18 jaar) kunnen bij elk van deze survivalruns bij het MET bandje voltooien van een aangemerkte individuele categorie kwalificatiepunten verdienen. Afhankelijk van de gekozen categorie zijn 1, 2 of zelfs 3 licentie kwalificatiepunten te verdienen! Een top-5 uitslag bij de mannen of een top-3 uitslag bij de vrouwen levert je DUBBELE punten op! Vanaf seizoen 2018-2019 zijn 6 punten nodig om een SBN klassementslicentie aan te kunnen vragen!  Meer informatie op de SBN website via de SBN reglementen.",5 - 8 - 14 - 21 km,vanaf 8 jaar,Stichting Survival Harreveld,,,,Oost Gelre,51.9802834,6.5144451,2024-06-16,zondag,Ja,L - M - K - J
41,30-06-2024,Loil,,,,,,,6 km,vanaf 8 jaar,Stichting Sportieve Activiteiten Loil,,,,Montferland,51.9411214,6.1288097,2024-06-30,zondag,Nee,
42,30-06-2024,'s-Hertogenbosch,,,K,J,B,"KWALIFICATIERUN  Deze survivalrun staat geregistreerd als een kwalificatierun. Recreatieve SBNleden (>18 jaar) kunnen bij elk van deze survivalruns bij het MET bandje voltooien van een aangemerkte individuele categorie kwalificatiepunten verdienen. Afhankelijk van de gekozen categorie zijn 1, 2 of zelfs 3 licentie kwalificatiepunten te verdienen! Een top-5 uitslag bij de mannen of een top-3 uitslag bij de vrouwen levert je DUBBELE punten op! Vanaf seizoen 2018-2019 zijn 6 punten nodig om een SBN klassementslicentie aan te kunnen vragen!  Meer informatie op de SBN website via de SBN reglementen.","5,5 en 8,5 km",vanaf 8 jaar,Stichting U-Battle Run,,,,'s-Hertogenbosch,51.677923,5.3295242,2024-06-30,zondag,Ja,K - J - B
